id,title,depth,href
24.3.4,Other functions,3,https://r4ds.hadley.nz/rectangling.html#other-functions
24.3.5,Exercises,3,https://r4ds.hadley.nz/rectangling.html#exercises
24.4,Case studies,2,https://r4ds.hadley.nz/rectangling.html#case-studies
24.4.1,Very wide data,3,https://r4ds.hadley.nz/rectangling.html#very-wide-data
24.4.2,Relational data,3,https://r4ds.hadley.nz/rectangling.html#relational-data
24.4.3,Deeply nested,3,https://r4ds.hadley.nz/rectangling.html#deeply-nested
24.4.4,Exercises,3,https://r4ds.hadley.nz/rectangling.html#exercises-1
24.5,JSON,2,https://r4ds.hadley.nz/rectangling.html#json
24.5.1,Data types,3,https://r4ds.hadley.nz/rectangling.html#data-types
24.5.2,jsonlite,3,https://r4ds.hadley.nz/rectangling.html#jsonlite
24.5.3,Starting the rectangling process,3,https://r4ds.hadley.nz/rectangling.html#starting-the-rectangling-process
24.5.4,Exercises,3,https://r4ds.hadley.nz/rectangling.html#exercises-2
24.6,Summary,2,https://r4ds.hadley.nz/rectangling.html#summary
25,Web scraping,1,https://r4ds.hadley.nz/webscraping.html
25.1,Introduction,2,https://r4ds.hadley.nz/webscraping.html#introduction
25.1.1,Prerequisites,3,https://r4ds.hadley.nz/webscraping.html#prerequisites
25.2,Scraping ethics and legalities,2,https://r4ds.hadley.nz/webscraping.html#scraping-ethics-and-legalities
25.2.1,Terms of service,3,https://r4ds.hadley.nz/webscraping.html#terms-of-service
25.2.2,Personally identifiable information,3,https://r4ds.hadley.nz/webscraping.html#personally-identifiable-information
25.2.3,Copyright,3,https://r4ds.hadley.nz/webscraping.html#copyright
25.3,HTML basics,2,https://r4ds.hadley.nz/webscraping.html#html-basics
25.3.1,Elements,3,https://r4ds.hadley.nz/webscraping.html#elements
25.3.2,Attributes,3,https://r4ds.hadley.nz/webscraping.html#attributes
25.4,Extracting data,2,https://r4ds.hadley.nz/webscraping.html#extracting-data
25.4.1,Find elements,3,https://r4ds.hadley.nz/webscraping.html#find-elements
25.4.2,Nesting selections,3,https://r4ds.hadley.nz/webscraping.html#nesting-selections
25.4.3,Text and attributes,3,https://r4ds.hadley.nz/webscraping.html#text-and-attributes
25.4.4,Tables,3,https://r4ds.hadley.nz/webscraping.html#tables
25.5,Finding the right selectors,2,https://r4ds.hadley.nz/webscraping.html#sec-css-selectors
25.6,Putting it all together,2,https://r4ds.hadley.nz/webscraping.html#putting-it-all-together
25.6.1,StarWars,3,https://r4ds.hadley.nz/webscraping.html#starwars
25.6.2,IMDB top films,3,https://r4ds.hadley.nz/webscraping.html#imdb-top-films
25.7,Dynamic sites,2,https://r4ds.hadley.nz/webscraping.html#dynamic-sites
25.8,Summary,2,https://r4ds.hadley.nz/webscraping.html#summary
26,Functions,1,https://r4ds.hadley.nz/functions.html
26.1,Introduction,2,https://r4ds.hadley.nz/functions.html#introduction
26.1.1,Prerequisites,3,https://r4ds.hadley.nz/functions.html#prerequisites
26.2,Vector functions,2,https://r4ds.hadley.nz/functions.html#vector-functions
26.2.1,Writing a function,3,https://r4ds.hadley.nz/functions.html#writing-a-function
26.2.2,Improving our function,3,https://r4ds.hadley.nz/functions.html#improving-our-function
26.2.3,Mutate functions,3,https://r4ds.hadley.nz/functions.html#mutate-functions
